nCount_RNA,nFeature_RNA,percent.mt,cellType
25563,4545,2.8126589210969,Corneal stroma keratocytes
15417,3327,7.98469222287086,Limbal superficial  cells
29429,4941,2.86791939923205,Corneal stroma keratocytes
17588,3578,7.84057311803502,Corneal wing cells
18004,3770,3.67140635414352,Limbal fibroblasts
22076,4419,3.90469287914477,Modulated corneal endothelial cells
13859,3614,9.17815138177358,Corneal basal and suprabasal cells
19293,3834,9.21577774322293,Corneal basal and suprabasal cells
5867,1927,9.15288904039543,Corneal wing cells
5929,1876,9.54629785798617,Modulated corneal endothelial cells
5350,2063,3.88785046728972,Corneal blood vessels
23692,4384,8.9312848218808,Corneal wing cells
43363,6209,3.41535410372899,Corneal stroma keratocytes
7866,2423,4.20798372743453,Basal conjuctiva epithelium
2589,1053,8.18848976438779,Limbal stroma
19641,3740,3.37559187414083,Corneal stroma keratocytes
15745,3522,3.74087011749762,Corneal stroma keratocytes
24960,3941,6.19791666666667,Limbal Niche
19368,3921,2.9481619165634,Corneal stroma
15896,3157,9.48037242073478,Basal conjuctiva epithelium
3088,1131,3.82124352331606,Corneal stroma keratocytes
16991,3356,3.29586251544936,Corneal stroma
16632,3550,7.996632996633,Corneal wing cells
18529,3905,9.77386799071725,Corneal basal and suprabasal cells
103956,8686,9.61464465735503,Limbal Niche
26977,5058,3.25833117099752,Corneal stroma keratocytes
18120,3569,9.7682119205298,Basal conjuctiva epithelium
7347,2624,3.67496937525521,Limbal superficial  cells
25925,4499,8.04628736740598,Limbal Niche
15689,3204,9.68194276244503,Basal conjuctiva epithelium
2802,1471,6.5667380442541,Corneal blood vessels
5952,1963,3.25940860215054,Limbal fibroblasts
21666,3989,9.2818240561248,Corneal wing cells
4888,1831,4.80769230769231,Limbal fibroblasts
26189,4426,7.38859826644774,Corneal wing cells
18375,3649,9.7687074829932,Corneal basal and suprabasal cells
26444,5049,9.11359854787475,Corneal wing cells
9572,2504,5.49519431675721,Corneal stroma keratocytes
28031,5235,3.64239591880418,Corneal stroma keratocytes
23441,4097,2.46576511240988,Corneal stroma keratocytes
12734,3186,5.98397989634051,Corneal stroma keratocytes
15770,3745,8.02155992390615,Corneal basal and suprabasal cells
15070,3581,9.39615129396151,Corneal epithelial superficial cells
10462,2832,2.60944370101319,Corneal stroma keratocytes
28097,4603,9.11485211944336,Limbal Niche
11923,3095,3.79937935083452,Corneal stroma
21208,4013,4.35684647302905,Corneal stroma keratocytes
11139,3039,7.2897028458569,Corneal epithelial superficial cells
8155,2714,3.60515021459227,Corneal stroma
2418,1148,3.06038047973532,Superficial conjunctiva epithelium
5925,1851,4.27004219409283,Corneal blood vessels
13947,2631,8.89080088908009,Quiescent LSCs
18749,4176,7.26438743399648,Superficial conjunctiva epithelium
9748,1293,4.43167829298318,Immune cells I
17616,3898,9.74114441416894,Corneal basal and suprabasal cells
7862,2324,5.63469854998728,Corneal stroma keratocytes
2401,1262,5.78925447730112,Limbal Niche
4890,1353,7.25971370143149,Immune cells II
17334,3907,8.31314180223838,Corneal basal and suprabasal cells
80653,6667,7.51366967130795,Basal conjuctiva epithelium
15531,3442,8.8854548966583,Basal conjuctiva epithelium
6037,2240,9.44177571641544,Superficial conjunctiva epithelium
18471,3921,6.91354014400953,Basal conjuctiva epithelium
13595,3169,2.87605737403457,Corneal stroma keratocytes
5506,1604,5.99346167816927,Immune cells II
2545,1318,3.06483300589391,Limbal Niche
36827,5386,8.99611697939012,Basal conjuctiva epithelium
22463,4600,6.1078217513244,Corneal basal and suprabasal cells
6756,2146,4.55891059798697,Conjunctival endothelium
24617,4306,8.57131250761669,Limbal Niche
19006,3992,9.90213616752605,Basal conjuctiva epithelium
12344,3119,4.78775113415425,Corneal stroma
9255,2199,4.76499189627229,Corneal stroma
5052,1644,8.65003958828187,Corneal basal and suprabasal cells
7068,2980,3.86247877758913,Limbal Niche
3399,1120,6.59017358046484,Immune cells II
17099,3675,9.53272121176677,Limbal superficial  cells
15639,3420,3.90050514738794,Corneal stroma
4147,1385,9.95900651073065,Corneal stroma keratocytes
16828,3500,9.25243641549798,Limbal superficial  cells
2507,1130,2.15396888711607,Basal conjuctiva epithelium
16147,3244,5.09072892797424,Corneal stroma
15222,3516,8.99356194980949,Superficial conjunctiva epithelium
14745,3033,9.1353001017294,Basal conjuctiva epithelium
19014,3784,8.7724834332597,Basal conjuctiva epithelium
15976,3174,7.51752628943415,Basal conjuctiva epithelium
26229,4430,6.48900072438903,Superficial conjunctiva epithelium
7416,2128,9.84358144552319,Basal conjuctiva epithelium
31992,5247,5.46699174793698,Corneal basal and suprabasal cells
20380,4587,2.67419038272817,Corneal stroma keratocytes
31090,4965,7.93824380829849,Basal conjuctiva epithelium
36592,5843,9.7753607345868,Limbal Niche
26437,4446,8.37840904792526,Limbal Niche
23813,4453,5.77835635997144,Corneal stroma keratocytes
18926,3901,7.52932473845504,Transit amplifying cells
39099,5844,8.45290160873679,Corneal basal and suprabasal cells
13358,2561,9.46249438538703,Basal conjuctiva epithelium
21550,4413,8.61716937354988,Corneal basal and suprabasal cells
30195,4965,7.69332670972015,Corneal stroma
7546,2289,5.85740789822423,Corneal stroma keratocytes
23280,3833,6.696735395189,Transit amplifying cells
20572,3878,2.40132218549485,Corneal stroma
24771,3639,6.70542166242784,Corneal wing cells
20097,4173,1.89580534408121,Corneal stroma keratocytes
27081,4149,9.62667552896865,Quiescent LSCs
18454,4144,2.44391459846104,Corneal stroma keratocytes
9135,3118,7.46579091406678,Limbal superficial  cells
18574,3725,8.47421126305589,Limbal Niche
19244,3607,5.77842444398254,Basal conjuctiva epithelium
23956,4201,6.1237268325263,Corneal stroma
5860,1939,5.8703071672355,Corneal stroma keratocytes
25123,4042,7.67026230943757,Transit amplifying cells
14511,3163,8.0008269588588,Transit amplifying cells
3555,1364,5.51336146272855,Corneal stroma
4099,1872,2.02488411807758,Corneal stroma keratocytes
19551,3490,9.30387192470973,Basal conjuctiva epithelium
3100,1570,4.51612903225806,Corneal stroma keratocytes
15918,2982,7.93441387108933,Basal conjuctiva epithelium
8417,2547,4.05132470001188,Corneal stroma keratocytes
26514,4287,6.87561288375952,Corneal basal and suprabasal cells
