nCount_RNA,nFeature_RNA,percent.mt,cellType
1038,598,9.44123314065511,Corneal epithelium
1333,721,9.67741935483871,Corneal epithelium
1101,604,9.80926430517711,Corneal epithelium
3340,1164,12.7544910179641,Ocular epithelium
1065,545,12.7699530516432,Ocular epithelium
1205,638,8.54771784232365,Corneal epithelium
1261,684,10.1506740681998,Corneal epithelium
1710,635,10.7017543859649,Ocular epithelium
1155,523,13.8528138528139,Ocular epithelium
1094,598,8.31809872029251,Corneal epithelium
1112,648,9.44244604316547,Corneal epithelium
2014,962,5.71002979145978,Corneal epithelium
2986,1071,12.7260549229739,Limbal epithelium
1330,695,8.42105263157895,Corneal epithelium
1079,559,9.45319740500463,Corneal epithelium
1010,537,5.64356435643564,Conjuctival epithelium
1203,537,7.73067331670823,Ocular epithelium
1483,590,11.3958192852326,Ocular epithelium
1481,673,11.0735989196489,Ocular epithelium
1134,557,14.1093474426808,Corneal epithelium
1113,575,8.53548966756514,Corneal epithelium
2145,1003,7.22610722610723,Conjuctival epithelium
1445,773,13.0795847750865,Corneal epithelium
1285,662,9.57198443579767,Conjuctival epithelium
1197,674,9.85797827903091,Corneal epithelium
1134,586,13.7566137566138,Ocular epithelium
3273,1029,13.9321723189734,Ocular epithelium
1939,804,9.33470861268695,Corneal epithelium
1619,703,8.27671402100062,Ocular epithelium
1217,569,8.38126540673788,Conjuctival epithelium
1176,631,10.3741496598639,Corneal epithelium
1170,614,10.6837606837607,Conjuctival epithelium
1245,586,7.06827309236948,Ocular epithelium
1169,598,12.9170230966638,Corneal epithelium
1909,929,11.6815086432687,Corneal epithelium
1234,587,13.0470016207455,Ocular epithelium
1648,761,11.3470873786408,Corneal epithelium
1263,573,14.806017418844,Ocular epithelium
1234,655,6.48298217179903,Corneal epithelium
2280,810,14.1228070175439,Ocular epithelium
1264,651,9.57278481012658,Corneal epithelium
2040,705,10.8823529411765,Ocular epithelium
1105,615,4.43438914027149,Conjuctival epithelium
1448,657,10.3591160220994,Limbal epithelium
1038,597,13.102119460501,Conjuctival epithelium
1026,587,8.96686159844054,Conjuctival epithelium
1291,551,10.0697134004648,Corneal epithelium
1048,622,7.82442748091603,Corneal epithelium
1865,803,12.2252010723861,Limbal epithelium
1151,551,11.8158123370982,Ocular epithelium
1099,650,6.82438580527753,Corneal epithelium
1432,699,7.1927374301676,Corneal epithelium
1183,559,11.1580726965342,Ocular epithelium
1985,777,10.1259445843829,Ocular epithelium
1140,590,12.280701754386,Conjuctival epithelium
1502,594,14.7137150466045,Ocular epithelium
1149,593,10.443864229765,Corneal epithelium
1218,658,11.0016420361248,Conjuctival epithelium
1240,583,10.4032258064516,Ocular epithelium
1078,624,9.74025974025974,Corneal epithelium
2393,1054,10.405348934392,Conjuctival epithelium
1258,626,10.4133545310016,Corneal epithelium
1321,668,13.6260408781226,Ocular epithelium
1409,646,11.9943222143364,Ocular epithelium
1069,616,10.3835360149673,Corneal epithelium
1104,566,12.1376811594203,Corneal epithelium
2189,1066,11.0095934216537,Conjuctival epithelium
1930,817,8.39378238341969,Corneal epithelium
2435,1031,8.04928131416838,Ocular epithelium
1167,636,9.25449871465296,Conjuctival epithelium
1174,637,9.79557069846678,Corneal epithelium
1268,717,8.83280757097792,Corneal epithelium
1222,642,6.38297872340426,Corneal epithelium
1708,784,11.8266978922717,Ocular epithelium
1020,510,9.31372549019608,Corneal epithelium
1294,658,10.5873261205564,Conjuctival epithelium
1618,624,14.1532756489493,Ocular epithelium
1206,664,10.3648424543947,Corneal epithelium
1086,604,6.9060773480663,Corneal epithelium
1004,520,11.5537848605578,Ocular epithelium
1450,699,9.44827586206896,Ocular epithelium
2304,910,11.328125,Limbal epithelium
1781,822,10.4997192588433,Ocular epithelium
8496,2443,8.21563088512241,Ocular epithelium
1396,637,14.6131805157593,Corneal epithelium
1004,540,10.3585657370518,Corneal epithelium
9223,2582,9.44378184972352,Ocular epithelium
33602,5581,11.5380036902565,Corneal epithelium
22060,4626,8.15503173164098,Conjuctival epithelium
4705,1930,14.7715196599362,Corneal epithelium
23947,4789,12.1059005303378,Corneal epithelium
1485,628,10.4377104377104,Limbal epithelium
1106,580,14.6473779385172,Corneal epithelium
1196,568,13.0434782608696,Corneal epithelium
1121,563,10.7939339875112,Corneal epithelium
7054,2075,8.87439750496172,Ocular epithelium
21357,4187,7.650887296905,Ocular epithelium
9363,2618,8.1384171739827,Ocular epithelium
7075,2166,8.40989399293286,Ocular epithelium
1129,550,12.7546501328609,Conjuctival epithelium
1279,683,7.1931196247068,Corneal epithelium
6326,2307,11.3657919696491,Corneal epithelium
46969,6516,9.51265728459197,Limbal epithelium
8866,2584,11.899390931649,Ocular epithelium
11054,2869,9.46263795910983,Ocular epithelium
9222,2814,9.99783127304272,Corneal epithelium
17980,4061,9.48832035595106,Conjuctival epithelium
5444,2068,12.0315944158707,Ocular epithelium
7051,2178,10.2538647000425,Ocular epithelium
8917,2461,11.3491084445441,Ocular epithelium
53850,7266,7.11792014856082,Ocular epithelium
7780,2219,11.7223650385604,Ocular epithelium
6793,1987,10.8641248343883,Corneal epithelium
9234,2617,11.0786224821313,Ocular epithelium
2972,1183,1.00942126514132,Corneal epithelium
1896,835,13.9240506329114,Corneal epithelium
7533,2269,8.34992698791982,Ocular epithelium
1402,666,12.1968616262482,Corneal epithelium
8442,2434,11.4901682065861,Corneal epithelium
11160,2940,9.34587813620072,Ocular epithelium
1025,548,8.19512195121951,Conjuctival epithelium
10281,2745,6.84758291994942,Ocular epithelium
1644,823,6.14355231143552,Corneal epithelium
6432,2021,8.41106965174129,Corneal epithelium
10984,2867,8.58521485797524,Ocular epithelium
9493,2590,8.39565995997051,Ocular epithelium
10202,3127,12.9386394824544,Conjuctival epithelium
7201,2318,13.2064990973476,Ocular epithelium
1044,544,5.74712643678161,Conjuctival epithelium
12825,3214,7.92202729044834,Corneal epithelium
9491,2849,7.91275945632705,Ocular epithelium
9435,2580,8.71224165341812,Ocular epithelium
10123,2682,9.84885903388324,Ocular epithelium
12058,2979,8.69132526123735,Ocular epithelium
10571,3057,10.3774477343676,Corneal epithelium
6946,2106,11.6613878491218,Ocular epithelium
2297,1041,10.8402263822377,Corneal epithelium
10408,2771,8.66641045349731,Ocular epithelium
3373,1645,4.15060776756596,Conjuctival epithelium
6091,2041,14.8908225250369,Ocular epithelium
7938,2591,8.06248425296044,Ocular epithelium
42624,6170,8.34037162162162,Corneal epithelium
15180,4082,13.4650856389987,Conjuctival epithelium
1239,758,10.8958837772397,Corneal epithelium
5580,2196,6.46953405017921,Conjuctival epithelium
11650,2866,9.18454935622318,Ocular epithelium
7764,2557,7.54765584750129,Ocular epithelium
9981,2560,12.4436429215509,Limbal epithelium
1515,807,4.02640264026403,Conjuctival epithelium
5230,1839,13.9961759082218,Ocular epithelium
14096,3663,14.8623723041998,Corneal epithelium
6961,1950,11.5787961499785,Ocular epithelium
12661,3405,8.60911460390174,Ocular epithelium
9188,2655,10.35045711798,Ocular epithelium
7426,2421,12.7928898464853,Ocular epithelium
8760,2612,9.31506849315068,Ocular epithelium
8419,3624,3.82468226630241,Limbal epithelium
8383,2473,13.5870213527377,Ocular epithelium
53232,7070,12.2539074241058,Corneal epithelium
1051,617,2.1883920076118,Conjuctival epithelium
4429,1484,14.4276360352224,Ocular epithelium
8931,2616,9.95409248684358,Corneal epithelium
12187,3170,10.0270780339706,Ocular epithelium
1605,810,12.8971962616822,Conjuctival epithelium
1374,665,10.1164483260553,Limbal epithelium
1142,645,7.4430823117338,Conjuctival epithelium
8156,2804,7.96959293771457,Limbal epithelium
42243,6383,7.60362663636579,Ocular epithelium
9339,2710,9.90470071742156,Ocular epithelium
5186,2251,7.69379097570382,Conjuctival epithelium
8470,2293,7.42621015348288,Ocular epithelium
11680,3143,10.9674657534247,Ocular epithelium
6626,2265,13.975249019016,Limbal epithelium
7387,2422,7.91931772031948,Corneal epithelium
10513,3267,11.1385903167507,Conjuctival epithelium
12718,3144,11.6763642082088,Corneal epithelium
1401,725,2.92648108493933,Conjuctival epithelium
8903,2416,12.6361900482983,Corneal epithelium
1331,830,2.62960180315552,Conjuctival epithelium
6050,2100,13.6528925619835,Limbal epithelium
5135,2046,12.9308666017527,Ocular epithelium
1302,581,10.5222734254992,Conjuctival epithelium
2982,1028,0.402414486921529,Corneal epithelium
9631,2636,10.2585401308275,Ocular epithelium
12022,2931,9.174846115455,Corneal epithelium
1014,550,11.0453648915187,Corneal epithelium
7341,2436,12.7775507424057,Ocular epithelium
1072,566,11.0074626865672,Corneal epithelium
3293,1376,10.7197084725175,Corneal epithelium
2712,1141,1.14306784660767,Limbal epithelium
6447,2021,3.41243989452459,Conjuctival epithelium
1036,519,8.2046332046332,Conjuctival epithelium
10663,3250,7.98086842352058,Conjuctival epithelium
7134,1872,0.40650406504065,Limbal epithelium
1249,532,5.20416333066453,Conjuctival epithelium
12115,3029,12.133718530747,Corneal epithelium
2147,1018,8.19748486259897,Corneal epithelium
14644,3398,6.29609396339798,Ocular epithelium
2410,947,1.70124481327801,Corneal epithelium
10754,2714,7.26241398549377,Ocular epithelium
1123,605,9.34995547640249,Corneal epithelium
26223,5304,9.1751515844869,Conjuctival epithelium
1097,624,8.9334548769371,Corneal epithelium
9262,2884,11.4446123947312,Corneal epithelium
16560,3674,9.00966183574879,Corneal epithelium
10371,2683,10.7607752386462,Corneal epithelium
1077,629,8.91364902506964,Corneal epithelium
12240,3200,7.12418300653595,Ocular epithelium
37369,5609,8.46958709090423,Corneal epithelium
1501,739,8.06129247168554,Corneal epithelium
1139,633,10.8867427568042,Corneal epithelium
9120,2770,10.6469298245614,Corneal epithelium
1730,742,11.5606936416185,Corneal epithelium
7527,1897,10.7214029493822,Ocular epithelium
4945,1908,12.9828109201213,Ocular epithelium
6014,2159,14.2833388759561,Ocular epithelium
9190,2572,11.7410228509249,Ocular epithelium
1102,636,8.98366606170599,Conjuctival epithelium
4402,1833,10.4270786006361,Conjuctival epithelium
5236,2025,12.375859434683,Ocular epithelium
18444,3951,8.24658425504229,Ocular epithelium
7247,2230,12.2533462122257,Ocular epithelium
8908,2590,9.73282442748092,Ocular epithelium
1628,938,11.4864864864865,Conjuctival epithelium
5734,1745,10.969654691315,Ocular epithelium
10676,2703,8.05545147995504,Ocular epithelium
10019,2744,8.66353927537678,Ocular epithelium
2068,1036,6.04448742746615,Conjuctival epithelium
13871,3356,7.56254055223127,Ocular epithelium
1037,617,5.30376084860174,Corneal epithelium
8715,2537,12.403901319564,Corneal epithelium
10394,2791,10.5253030594574,Ocular epithelium
1525,662,13.2459016393443,Conjuctival epithelium
11531,3014,7.58824039545573,Ocular epithelium
12058,3216,10.2836291258915,Ocular epithelium
7328,2210,8.44705240174673,Ocular epithelium
1024,594,4.58984375,Conjuctival epithelium
10508,2836,7.6227636086791,Ocular epithelium
6681,2058,9.93863194132615,Ocular epithelium
8041,2378,13.655018032583,Ocular epithelium
